url,sic_code,sic_code_title,description,error
https://siccode.com/sic-code/01/agricultural-production-crops,01,agricultural-production-crops,"This major group includes establishments (e.g., farms, orchards, greenhouses, nurseries) primarily engaged in the production of crops, plants, vines, and trees (excluding forestry operations). This major group also includes establishments primarily engaged in the operation of sod farms, and cranberry bogs; in the production of mushrooms, bulbs, flower seeds, and vegetable seeds; and in the growing of hydroponic crops. Seeds of field crops are classified in the same industry as crops grown for other purposes. ",
https://siccode.com/sic-code/011/cash-grains,011,cash-grains,"For detailed description of SIC 011, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0111/wheat,0111,wheat,Establishments primarily engaged in the production of wheat.,
https://siccode.com/sic-code/0112/rice,0112,rice,Establishments primarily engaged in the production of rice.,
https://siccode.com/sic-code/0115/corn,0115,corn,Establishments primarily engaged in the production of field corn for grain or seed.,
https://siccode.com/sic-code/0116/soybeans,0116,soybeans,Establishments primarily engaged in the production of soybeans.,
https://siccode.com/sic-code/0119/cash-grains,0119,cash-grains,"Establishments primarily engaged in the production of cash grains, not elsewhere classified. Included in this industry are establishments primarily engaged in the production of dry field and seed peas and beans, safflowers, sunflowers, or popcorn. This industry also includes establishments deriving 50 percent or more of their total value of sales of agricultural products from cash grains, SIC Code - 011, but less than 50 percent from products of any single industry. ",
https://siccode.com/sic-code/013/field-crops,013,field-crops,"For detailed description of SIC 013, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0131/cotton,0131,cotton,Establishments primarily engaged in the production of cotton and cottonseed.,
https://siccode.com/sic-code/0132/tobacco,0132,tobacco,Establishments primarily engaged in the production of tobacco.,
https://siccode.com/sic-code/0133/sugarcane-sugar-beets,0133,sugarcane-sugar-beets,Establishments primarily engaged in the production of sugarcane and sugar beets.,
https://siccode.com/sic-code/0134/irish-potatoes,0134,irish-potatoes,Establishments primarily engaged in the production of potatoes.,
https://siccode.com/sic-code/0139/field-crops,0139,field-crops,"Establishments primarily engaged in the production of field crops, except cash grains, not elsewhere classified. This industry also includes establishments deriving 50 percent or more of their total value of sales of agricultural products from field crops, except cash grains, SIC Code - 013, but less than 50 percent from products of any single industry. ",
https://siccode.com/sic-code/016/vegetables-melons,016,vegetables-melons,"For detailed description of SIC 016, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0161/vegetables-melons,0161,vegetables-melons,Establishments primarily engaged in the production of vegetables and melons in the open.,
https://siccode.com/sic-code/017/fruits-tree-nuts,017,fruits-tree-nuts,"For detailed description of SIC 017, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0171/berry-crops,0171,berry-crops,"Establishments primarily engaged in the production of cranberries, bush berries, and strawberries.",
https://siccode.com/sic-code/0172/grapes,0172,grapes,Establishments primarily engaged in the production of grapes.,
https://siccode.com/sic-code/0173/tree-nuts,0173,tree-nuts,Establishments primarily engaged in the production of tree nuts.,
https://siccode.com/sic-code/0174/citrus-fruits,0174,citrus-fruits,Establishments primarily engaged in the production of citrus fruits.,
https://siccode.com/sic-code/0175/deciduous-tree-fruits,0175,deciduous-tree-fruits,Establishments primarily engaged in the production of deciduous tree fruits.,
https://siccode.com/sic-code/0179/fruits-tree-nuts,0179,fruits-tree-nuts,"Establishments primarily engaged in the production of fruits and nuts, not elsewhere classified. This industry also includes establishments deriving 50 percent or more of their total value of sales of agricultural products from fruit and tree nuts, SIC Code - 017, but less than 50 percent from products of any single industry. ",
https://siccode.com/sic-code/018/horticultural-specialties,018,horticultural-specialties,"For detailed description of SIC 018, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0181/ornamental-floriculture-nursery-products,0181,ornamental-floriculture-nursery-products,"Establishments primarily engaged in the production of ornamental plants and other nursery products, such as bulbs, florists' greens, flowers, shrubbery, flower and vegetable seeds and plants, and sod. These products may be grown under cover greenhouse, frame, cloth house, lath house) or outdoors.",
https://siccode.com/sic-code/0182/food-crops-grown-cover,0182,food-crops-grown-cover,Establishments primarily engaged in the production of mushrooms or of fruits and vegetables grown under cover.,
https://siccode.com/sic-code/019/farms-crop,019,farms-crop,"For detailed description of SIC 019, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0191/farms-crop,0191,farms-crop,"Establishments deriving 50 percent or more of their total value of sales of agricultural products from crops, including horticultural specialties, but less than 50 percent from products of any single three-digit industry group.  ",
https://siccode.com/sic-code/02/agricultural-production-livestock,02,agricultural-production-livestock,"This major group includes establishments (e.g., farms, ranches, dairies, feedlots, egg production facilities, broiler facilities, poultry hatcheries, apiaries) primarily engaged in the keeping, grazing, or feeding of livestock for the sale of livestock or livestock products (including serums), for livestock increase, or for value increase. Livestock, as used here, includes cattle, hogs, sheep, goats, and poultry of all kinds; also included in this major group are animal specialties, such as horses, rabbits, bees, pets, fish in captivity, and fur-bearing animals in captivity.",
https://siccode.com/sic-code/021/livestock,021,livestock,"For detailed description of SIC 021, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0211/beef-cattle-feedlots,0211,beef-cattle-feedlots,"Establishments primarily engaged in the fattening of beef cattle in a confined area for a period of at least 30 days, on their own account or on a contract or fee basis.",
https://siccode.com/sic-code/0212/beef-cattle,0212,beef-cattle,"Establishments primarily engaged in the production or feeding of beef cattle, except feedlots.",
https://siccode.com/sic-code/0213/hogs,0213,hogs,Establishments primarily engaged in the production or feeding of hogs on their own account or on a contract or fee basis.,
https://siccode.com/sic-code/0214/sheep-goats,0214,sheep-goats,"Establishments primarily engaged in the production of sheep, lambs, goats, goats'milk, wool, and mohair, including the operation of lamb feedlots, on their own account or on a contract or fee basis.",
https://siccode.com/sic-code/0219/livestock,0219,livestock,"Establishments deriving 50 percent or more of their total value of sales of agricultural products from livestock and livestock products classified in SIC Code - 021, but less than 50 percent from products of any single industry. ",
https://siccode.com/sic-code/024/dairy-farms,024,dairy-farms,"For detailed description of SIC 024, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0241/dairy-farms,0241,dairy-farms,Establishments primarily engaged in the production of cows' milk and other dairy products and in raising dairy heifer replacements. Such farms may process and bottle milk on the farm and sell at wholesale or retail.,
https://siccode.com/sic-code/025/poultry-eggs,025,poultry-eggs,"For detailed description of SIC 025, see Subcategories in the Hierarchy Navigation on this page.",
https://siccode.com/sic-code/0251/broiler-fryer-roaster-chickens,0251,broiler-fryer-roaster-chickens,"Establishments primarily engaged in the production of chickens for slaughter, including those grown under contract.",
https://siccode.com/sic-code/0252/chicken-eggs,0252,chicken-eggs,"Establishments primarily engaged in the production of chicken eggs, including table eggs and hatching eggs, and in the sale of cull hens.",
https://siccode.com/sic-code/0253/turkeys-turkey-eggs,0253,turkeys-turkey-eggs,Establishments primarily engaged in the production of turkeys and turkey eggs.,
https://siccode.com/sic-code/0254/poultry-hatcheries,0254,poultry-hatcheries,Establishments primarily engaged in operating poultry hatcheries on their own account or on a contract or fee basis.,
